epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.381,0.94191,3.62022,1.05761,0.0431,0.78526,0.11916,0.0964,0.74533,inf,0.86997,0.000171437,0.000171437,0.000171437
2,157.469,0.88182,2.05679,1.05063,0.79688,0.13318,0.27581,0.22625,0.72244,2.48426,0.89781,0.000344482,0.000344482,0.000344482
3,205.16,0.81147,1.491,1.00118,0.48473,0.46684,0.49804,0.40683,0.71933,1.43793,0.90199,0.000515212,0.000515212,0.000515212
4,251.878,0.78801,1.25617,0.98952,0.67634,0.5379,0.6083,0.50043,0.73924,1.14397,0.93581,0.000515585,0.000515585,0.000515585
5,296.742,0.75958,1.09451,0.9757,0.69408,0.59605,0.65065,0.54352,0.68285,1.05253,0.89946,0.000512114,0.000512114,0.000512114
6,341.655,0.74693,0.9846,0.96813,0.69482,0.60221,0.68246,0.56115,0.69768,1.00683,0.92144,0.000508642,0.000508642,0.000508642
7,388.031,0.72844,0.87588,0.95986,0.78644,0.73777,0.81268,0.6878,0.64644,0.74564,0.89227,0.00050517,0.00050517,0.00050517
8,432.535,0.71544,0.82522,0.95718,0.84222,0.74157,0.83956,0.70758,0.64654,0.72572,0.89586,0.000501699,0.000501699,0.000501699
9,476.157,0.71399,0.77086,0.95955,0.86232,0.79529,0.86584,0.73278,0.63181,0.63916,0.88942,0.000498227,0.000498227,0.000498227
10,521.903,0.69856,0.72342,0.95253,0.87787,0.78334,0.87841,0.74435,0.63792,0.69444,0.90037,0.000494756,0.000494756,0.000494756
11,566.208,0.69271,0.69156,0.95163,0.88251,0.78288,0.86856,0.74346,0.62733,0.63663,0.89166,0.000491284,0.000491284,0.000491284
12,610.096,0.67772,0.65605,0.9451,0.89106,0.76094,0.8757,0.74997,0.59818,0.63395,0.88332,0.000487812,0.000487812,0.000487812
13,654.049,0.67726,0.64356,0.94795,0.89201,0.79184,0.87575,0.73898,0.64958,0.59951,0.90402,0.000484341,0.000484341,0.000484341
14,700.019,0.66734,0.61324,0.94241,0.9281,0.84131,0.91615,0.79042,0.58716,0.52251,0.87953,0.000480869,0.000480869,0.000480869
15,743.788,0.66826,0.60351,0.9462,0.90914,0.84852,0.92212,0.79688,0.57635,0.50829,0.88428,0.000477398,0.000477398,0.000477398
16,787.941,0.657,0.58358,0.94039,0.90003,0.84393,0.91691,0.79431,0.57849,0.5276,0.88086,0.000473926,0.000473926,0.000473926
17,833.492,0.6581,0.5772,0.94082,0.90991,0.8222,0.91132,0.77904,0.61557,0.54087,0.89275,0.000470454,0.000470454,0.000470454
18,877.733,0.64805,0.55923,0.93759,0.93015,0.83676,0.91898,0.7894,0.5885,0.52968,0.89694,0.000466983,0.000466983,0.000466983
19,922.103,0.64343,0.54981,0.93809,0.95014,0.85921,0.93279,0.81214,0.56576,0.46997,0.88507,0.000463511,0.000463511,0.000463511
20,966.155,0.63755,0.53919,0.9377,0.9597,0.87379,0.93701,0.81037,0.57881,0.45277,0.88899,0.00046004,0.00046004,0.00046004
21,1010.19,0.6358,0.5359,0.93476,0.94123,0.85507,0.93091,0.80868,0.56618,0.47108,0.88615,0.000456568,0.000456568,0.000456568
22,1055.76,0.62755,0.5257,0.93598,0.95555,0.86656,0.93442,0.80919,0.58788,0.46031,0.88448,0.000453096,0.000453096,0.000453096
23,1099.88,0.6249,0.51122,0.93363,0.95895,0.8907,0.94632,0.83001,0.54093,0.42081,0.87426,0.000449625,0.000449625,0.000449625
24,1143.73,0.61746,0.50093,0.93044,0.95345,0.89744,0.94322,0.81621,0.58156,0.42125,0.89535,0.000446153,0.000446153,0.000446153
25,1189.05,0.61697,0.50072,0.92967,0.95263,0.87203,0.94192,0.81985,0.55467,0.43542,0.88204,0.000442682,0.000442682,0.000442682
26,1233,0.61088,0.49089,0.92717,0.96209,0.88344,0.94561,0.82845,0.54794,0.39933,0.88116,0.00043921,0.00043921,0.00043921
27,1277.84,0.60618,0.48382,0.92518,0.96988,0.9,0.94942,0.83241,0.53085,0.39299,0.87786,0.000435738,0.000435738,0.000435738
28,1321.41,0.60537,0.47994,0.92849,0.96659,0.90748,0.95008,0.8399,0.52535,0.37214,0.87085,0.000432267,0.000432267,0.000432267
29,1368.07,0.6053,0.47572,0.92888,0.9744,0.90438,0.95152,0.84337,0.51299,0.37698,0.86904,0.000428795,0.000428795,0.000428795
30,1411.55,0.60187,0.47123,0.92692,0.97179,0.90398,0.95291,0.84226,0.52378,0.37691,0.87171,0.000425324,0.000425324,0.000425324
31,1456.04,0.59902,0.46935,0.92796,0.96457,0.89653,0.949,0.8364,0.53594,0.3905,0.87765,0.000421852,0.000421852,0.000421852
32,1501.17,0.5953,0.46238,0.92502,0.97311,0.90613,0.95389,0.84933,0.51253,0.36305,0.86774,0.00041838,0.00041838,0.00041838
33,1545.93,0.59236,0.45762,0.92442,0.96815,0.8984,0.95008,0.83733,0.53894,0.39231,0.88461,0.000414909,0.000414909,0.000414909
34,1589.24,0.58964,0.45289,0.92407,0.97336,0.92189,0.9562,0.85022,0.51155,0.34874,0.8688,0.000411437,0.000411437,0.000411437
35,1633.78,0.59217,0.45233,0.92365,0.97517,0.9219,0.95736,0.85004,0.5158,0.346,0.87094,0.000407966,0.000407966,0.000407966
36,1677.69,0.57962,0.44232,0.9196,0.9814,0.9175,0.95625,0.85298,0.50884,0.34772,0.87451,0.000404494,0.000404494,0.000404494
37,1722.57,0.58382,0.44013,0.92237,0.98533,0.92257,0.95736,0.85712,0.49995,0.33168,0.86024,0.000401022,0.000401022,0.000401022
38,1766.86,0.58139,0.43957,0.92276,0.98073,0.91796,0.95628,0.85535,0.50034,0.34284,0.86889,0.000397551,0.000397551,0.000397551
39,1812.4,0.57929,0.43586,0.92163,0.97672,0.91435,0.9572,0.85009,0.51744,0.34768,0.86902,0.000394079,0.000394079,0.000394079
40,1856.76,0.57492,0.43609,0.92147,0.98072,0.92287,0.95929,0.85912,0.49611,0.33132,0.86793,0.000390608,0.000390608,0.000390608
41,1901.11,0.57137,0.43063,0.91853,0.98117,0.92584,0.95932,0.85677,0.49784,0.33015,0.86722,0.000387136,0.000387136,0.000387136
42,1945.29,0.57137,0.42733,0.91951,0.98291,0.92298,0.95717,0.85899,0.50919,0.3363,0.87137,0.000383664,0.000383664,0.000383664
43,1988.91,0.56968,0.42866,0.91811,0.98122,0.92714,0.96073,0.86344,0.49711,0.32526,0.86898,0.000380193,0.000380193,0.000380193
44,2034.8,0.56694,0.42503,0.91813,0.96081,0.88513,0.94808,0.84381,0.5183,0.38344,0.87694,0.000376721,0.000376721,0.000376721
45,2079.66,0.56389,0.41689,0.91406,0.97778,0.92583,0.95863,0.86096,0.49471,0.32949,0.86326,0.00037325,0.00037325,0.00037325
46,2123.28,0.55759,0.41706,0.91193,0.98842,0.92524,0.96254,0.86824,0.48128,0.31342,0.86315,0.000369778,0.000369778,0.000369778
47,2169.08,0.56013,0.41763,0.91416,0.97866,0.93008,0.96314,0.86517,0.49386,0.31857,0.86455,0.000366306,0.000366306,0.000366306
48,2212.75,0.55927,0.41027,0.91153,0.98093,0.92792,0.96137,0.86644,0.48145,0.30945,0.86212,0.000362835,0.000362835,0.000362835
49,2257.27,0.55575,0.40673,0.91112,0.97968,0.93856,0.9644,0.86884,0.47777,0.30193,0.86465,0.000359363,0.000359363,0.000359363
50,2301.22,0.54969,0.40272,0.91016,0.98353,0.93409,0.96184,0.86927,0.47641,0.30631,0.8619,0.000355892,0.000355892,0.000355892
51,2345.85,0.55285,0.40636,0.91299,0.98696,0.93292,0.96277,0.87166,0.47562,0.3072,0.86126,0.00035242,0.00035242,0.00035242
52,2391.02,0.55128,0.40276,0.91179,0.98366,0.92891,0.963,0.87257,0.47158,0.30993,0.86208,0.000348948,0.000348948,0.000348948
53,2435.36,0.54909,0.39983,0.91008,0.97549,0.91995,0.95958,0.86365,0.4948,0.33078,0.86503,0.000345477,0.000345477,0.000345477
54,2481.02,0.54814,0.40163,0.91074,0.98689,0.93155,0.96437,0.87134,0.47446,0.30179,0.85962,0.000342005,0.000342005,0.000342005
