id,name,parent
1,Математика,0
2,Арифметика и начала Алгебры,1
3,Арифметика,2
4,Натуральные числа,3
5,Cложение и вычитание натуральных чисел,4
6,Дробные числа,3
7,Десятичные дроби,6
8,Сложение и вычитание десятичных дробей,6
9,Текстовые задачи,2
10,Задачи на нахождение двух чисел по их сумме и разности,9
11,Задачи на движение,9
12,Задачи на сближение и удаление,11
13,Движение по воде,11
14,Движение протяженных тел,11
15,Движение по окружности (замкнутой трассе),11
16,Задачи «на части» и «на уравнивание»,9
17,Движение вдогонку и движение с отставанием,11
18,Текстовые арифметические задачи с использованием дробей,6
19,Текстовые арифметические задачи с использованием натуральных чисел,4
20,комплексные вычисления с дробями,6
21,Основы элементарной алгебры,2
22,Введение в алгебру,21
23,Раскрытие скобок и приведение подобных слагаемых. ,22
24,Линейные уравнения с одной переменной,22
25,Отношения и пропорции,3
26,Прямая и обратная пропорциональная зависимость,25
27,Сложная зависимость,25
28,Задачи на составление уравнений с одной переменной,22
29,Проценты,3
30,нахождение числа по его процентам,29
31,нахождение процента от числа,29
32,текстовые задачи на проценты,29
33,задачи на проценты,9
34,Задачи на увеличение и уменьшение цены ,33
35,Задачи на концентрацию,33
36,Исторические задачи,1
37,Задачи на совместную работу,9
38,Задачи на среднее арифметическое,9
39,Задачи на среднюю скорость,9
40,пропорциональное деление ,25
41,Алгебра и начала анализа,21
42,Показательная функция,41
43,Показательные и логарифмические уравнения,42
44,простые показательные уравнения,43
45,смешанные показательные уравнения,43
46,Последовательность,21
47,Числовые последовательности,46
48,Метод математической индукции,46
49, Арифметическая прогрессия,46
50, Определение арифметической прогрессии.Свойства арифметической прогрессии,49
51,Сумма п первых членов арифметической прогрессии,49
52,Геометрическая прогрессия,46
53,Определение геометрической прогрессии,52
54,Сумма п первых членов геометрической прогрессии,52
55,Предел последовательности,46
56,Определение бесконечно малой последовательности,55
57,Свойства бесконечно малых последовательностей,55
58,Бесконечно большие последовательности,55
59,Определение предела последовательности,55
60,Теоремы о пределах,55
61,Многочлены,21
62,квадратный трехчлен,61
63,Квадратные уравнения,62
64,Определение квадратного уравнения,63
65,Формула корней квадратного уравнения,63
66,Теорема Виета,63
67,Разложение квадратного трехчлена на линейные множетели,63
68,Рациональные уравнения как математические модели реальных ситуаций,63
69,Действительные числа,21
70,Иррациональные выражения,69
71,Общие сведения о корнях. Извлечение корня из одночлена.,70
72,Вывод множителя из-под радикала и введение множителя под радикал,70
73,Сокращение показателей корней и приведение радикалов к общему показателю,70
74,Приведение корней к нормальному виду,70
75,Подобие корней,70
76,Сложение и вычитание корней,70
77,Умножение и деление корней,70
78,Возведение корней в степень и извлечение из них корня,70
79,Уничтожение иррациональности в знаменателе дроби,70
80,Квадратный корень из двучлена вида A±√B. Формула сложного радикала,70
81,Задачи на все действия над радикалом,70
82,Степени и корни с дробными показателями,70
83,Алгебраические дроби,21
84,Основные понятия,83
85, Сложение и вычитание алгебраических дробей,83
86,Умножение и деление алгебраических дробей. Возведение алгебраической дроби в степень,83
87,Тригонометрия,21
88,Начала тригонометрии,87
89,Формулы сложения и их следствия,87
90,Формулы сложения,89
91,Формулы двойного аргумента,89
92,Формулы приведения,89
93,"Формулы суммы и разности одноименных тригонометрических функций, формулы преобразования произведения тригонометрических функций в сумму",89
94,Формулы тройного и половинного аргументов. Выражение тригонометрических функций через тангенс половинного аргумента,89
95,Формулы преобразования выражения Asin(x) +Bcos(x),89
96,Обратные тригонометрические функции,87
97,Элементы высшей математики,41
98,основы математического анализа,97
99,Дифференцирование функций,98
100,Определение производной,99
101,Техника дифференцирования,99
102,производная степенных функций,101
103,Производная произведения и частного функций,101
104,Производная сложной функции,101
105,Производные тригонометрических функций,101
106,Производная показательной и логарифмической функции,101
107,Приложения производной,99
108,Производная и экстремумы. Критические точки,107
109,Уравнения касательной и нормали,107
110,Наибольшее и наименьшее значения функции,107
111,Монотонность функций,107
112,текстовые задачи на оптимизацию,107
113,логарифм числа,42
114,определение логарифма,113
115,Свойства логарифмов,113
116,Алгебраические выражения,21
117,Степень с натуральным показателем и ее свойства,42
118,понятие степени с целым показателем,117
119,Таблица основных степеней,117
120,Свойства степени с натуральными показателями,117
121,Умножение и деление степеней с одинаковыми показателями,117
122,Одночлены и многочлены,116
123,Понятие многочлена,61
124,стандартный вид многочлена,123
125,Сложение и вычитание многочленов,123
126,Умножение многочлена на одночлен,123
127,Умножение многочлена на многочлен,123
128,Формулы сокращенного умножения,123
129,Деление многочлена на одночлен,123
130,Алгебраические уравнения и системы уравнений,21
131,Свойства многочленов,123
132,общие свойства многочленов,131
133,коэффициенты многочленов,131
134,Делимость многочленов,131
135,Разность квадратов,128
136,Куб суммы и куб разности,128
137,сумма двух квадратов,128
138,Разные тождества,131
139,Формула для xⁿ-yⁿ,128
140,Формула для xⁿ+yⁿ,128
141,задачи с разными методами решения,9
142,Геометрия,1
143,Планиметрия,142
144,начальные тригонометрические сведения,143
145,точка. Прямая. Луч,144
146,отрезки. Измерение отрезков,144
147,углы. Измерение углов,144
148,Середина отрезка,146
149,сумма расстояний,146
150,построение отрезков с помощью линейки,146
151,длины отрезков и их отношения,146
152,Смежные углы,147
153,вертикальные углы,147
154,перпендикулярные прямые,147
155,биссектриса угла,147
156,угол между стрелками часов,147
157,измерения угла с помощью угольника,146
158,точки на прямой,146
159,треугольники. Признаки равенства треугольников,484
160,Первый признак равенства треугольников,159
161,Второй признак равенства треугольников,159
162,третий признак равенства треугольников,159
163,равнобедренный треугольник. Свойства и признаки,159
164,внешний угол треугольника,159
165,продление медианы за свою длину,159
166,"медиaна,биссектриса,высота треугольника",159
167,неверные признаки равенства треугольников,159
168,равенство прямоугольных треугольников,159
169,свойства равных треугольников,159
170,параллельность и сумма углов треугольника,143
171,свойства и признаки параллельности двух прямых,170
172,сумма углов треугольника,170
173,свойства прямоугольного треугольника. ,170
174,медиана прямоугольного треугольника,173
175,прямоугольный треугольник с углом в 30 градусов,173
176,Геометрические места точек (ГМТ),143
177,свойства биссектрисы как ГМТ,176
178,серединный перпендикуляр,176
179,Задачи на построение с помощью циркуля и линейки,143
180,Окружность и круг,143
181,Основные свойства и определения круга,180
182,касательная к окружности,180
183,неравенство треугольника,159
184,смешанные задачи на арифметическую прогрессию повышенной сложности,49
185,смешанные задачи на геометрическую прогрессию повышенной сложности,52
186,системы уравнений,130
187,системы линейных уравнений,186
188,системы нелинейных уравнений,186
189,простейшие логарифмические уравнения,43
190,смешанные логарифмические и показательные выражения и уравнения,43
191,преобразование и вычисление алгебраических выражений,83
192,упрощение иррациональных алгебраических выражений,70
193,Физика,0
194,Механика,193
195,Кинематика,194
196,материальная точка. Система отсчета,195
197,Путь. Перемещение,195
198,Равномерное движение,195
199,Средняя скорость,195
200,Относительность движения,195
201,Движение по окружности,203
202,Баллистическое движение,203
203,Неравномерное движение,195
204,равноускоренное движение,203
205,свободное падение,203
206,"Движение тела,брошенного горизонтально",202
207,"Движение тела, брошенного под углом к горизонту",202
208,Динамика,194
209,Закон сохранения энергии и импульса,194
210,Закон сохранения импульса,209
211,реактивное движение,209
212,Статика,194
213,Центр тяжести. Движение центра тяжести,212
214,Работа. Мощность. Энергия,209
215,Механическая работа,214
216,КПД,214
217,Кинетическая энергия,214
218,потенциальная энергия,214
219,Энергия сжатой пружины,214
220,Сохранение энергии при движении по окружности,214
221,комплексные задачи на закон сохранения энергии и импульса,214
222,столкновения,221
223,упругий удар,222
224,непругий удар,222
225,нецентральный удар,222
226,мощность,214
227,Закон сохранения энергии,214
228,Молекулярная физика и термодинамика,193
229,Молекулярно - кинетическая теория (МКТ),228
230,давление вещества. Уравнения состояния вещества,229
231,характерные скорости молекул,229
232,Изопроцессы,229
233,графики в задачах термодинамики,229
234,уравнение Менделеева Клайперона,229
235,Закон Дальтона. Смеси газов,229
236,Термодинамика,228
237,внутренняя энергия веществ,236
238,виды теплопередачи,236
239,измерение количества теплоты,236
240,плавление и отвердевание,236
241,испарение и кипение,236
242,теплота сгорания топлива,236
243,уравнение теплового баланса,236
244,тепловое расширение тел,236
245,внутренняя энергия идеального газа,236
246,Работа идеального газа,236
247,Первое начало термодинамики,236
248,теплоемкость газа,236
249,тепловые двигатели,236
250,количество вещества.Дискретное состояние вещества,229
251,Цикл Карно,236
252,Влажность,236
253,гидростатика и влажность,236
254,поверхностное натяжение,236
255,гидростатика и газовые законы,229
256,тригонометрические уравнения и неравенства,87
257,простейшие тригонометрические уравнения,256
258,"Решение тригонометрических уравнений, отличающихся от простейших",256
259,Решение систем тригонометрических уравнений,256
260,Примеры решения более сложных тригонометрических уравнений и их систем,256
261,Тригонометрические уравнения с параметрами,256
262,Решение тригонометрических неравенств,256
263,"Простейшие упражнения вида sin(ax+b)=c, tg (ax+b)=c, cos²(ax+b)=c",258
264,"Уравнения, сводящиеся к квадратным",258
265,"Уравнение вида sin(αx) ± cos(βx)=0, sin(αx) ± cos(βx)=0",258
266,"Уравнения, содержащие выражения вида sin(αx) ± cos(βx)",258
267,"Уравнения на применение формул для sin(α + β ), cos(α + β )",258
268,Уравнения на применение формул преобразования суммы в произведение,258
269,"Уравнения, содержащие квадраты синусов и косинусов",258
270,Уравнения на применение формул преобразования произведения в сумму,258
271,"Уравнения, содержащие выражения вида  sin⁴(αx)  ±  cos⁴(αx)",258
272,"Уравнения на применение формул cos2x=(cosx-sinx)(cosx+sinx), sin²x=(1-cosx)(1+cosx), cos²x=(1-sinx)(1+sinx)",258
273,Уравнения на применение формулы 1 ± sin2x=(sinx ± cosx)²,258
274,"Уравнения, решаемые с помощью разложения на множители",258
275,Однородные уравнения 2-го порядка,258
276,Уравнения вида Asin(αx)+Bcos(αx)=C,258
277,"Уравнения, содержащие выражения вида ctg(αx) ± tg(αx)
  ",258
278,"Уравнение с тангенсами и котангенсами
",258
279,Разные задачи,258
280,"Уравнения, содержащие выражения вида cos³(αx) ± sin³(αx)",258
281,"Уравнения, сводящиеся к кубическим, и однородные уравнения 3-го порядка",258
282,"Уравнения, решаемые с помощью оценок для sinx и cosx",258
283,механика жидкости и газа,194
284,Закон Паскаля,283
285,давление жидкости,283
286,Сообщающиеся сосуды,283
287,атмосферные давление,283
288,Закон Архимеда.Плавание тел,283
289,течение идеальной жидкости,332
290,потенциальная энергия столба жидкости,283
291,"жидкость в сосуде, двигающимся с ускорением",283
292,стационарное течение жидкости,332
293,Электромагнетизм,193
294,Электростатика,293
295,Постоянный ток,293
296,Магнетизм,293
297,геометрическая оптика,298
298,Оптика,193
299,магнитные явления,296
300,прямолинейное распространение света,297
301,отражение света,297
302,преломление света,297
303,Линзы и другие оптические системы,302
304,магнитное поле проводника с током,306
305,Сила Лоренца,306
306,магнитные силы,296
307,Электромагнитная индукция,296
308,самоиндукция,296
309,Механические колебания и волны,194
310,колебания материальной точки,309
311,пружинный маятники,309
312,математический маятник,309
313,колебательные механические системы,309
314,волны,309
315,Электромагнитные колебания и волны,293
316,свободные колебания в электромагнитном контуре,315
317,вынужденные колебания. переменный ток,315
